year,month,rw,female,wbho,married,age,age_dec
2019,3,29,0,0,0,38,3.8
2019,3,NA,0,0,1,62,6.2
2019,3,NA,1,0,1,60,6
2019,3,NA,0,0,0,48,4.8
2019,3,NA,1,0,0,48,4.8
2019,3,15.384500503540039,1,0,0,26,2.6
2019,3,28.845998764038086,0,1,0,28,2.8
2019,3,28.845998764038086,0,1,0,31,3.1
2019,3,10,0,0,1,54,5.4
2019,3,NA,1,0,1,55,5.5
2019,3,NA,0,0,1,36,3.6
2019,3,NA,1,0,1,36,3.6
2019,3,95,0,0,0,62,6.2
2019,3,24.024999618530273,0,0,1,30,3
2019,3,20.649999618530273,1,0,1,30,3
2019,3,55.28824996948242,1,0,1,42,4.2
2019,3,NA,0,0,1,40,4
2019,3,NA,1,0,0,16,1.6
2019,3,14.399999618530273,0,0,1,54,5.4
2019,3,10.75,1,0,1,52,5.2
2019,3,NA,0,0,0,28,2.8
2019,3,14.5,0,0,1,61,6.1
2019,3,13,1,0,0,53,5.3
2019,3,18,0,0,0,48,4.8
2019,3,NA,0,0,0,60,6
2019,3,38.46139907836914,1,0,1,56,5.6
2019,3,33.653751373291016,0,0,1,62,6.2
2019,3,NA,1,0,1,60,6
2019,3,17,0,0,1,61,6.1
2019,3,8,0,0,0,18,1.8
2019,3,20,1,0,0,31,3.1
2019,3,19.100000381469727,0,0,1,61,6.1
2019,3,13,1,1,1,63,6.3
2019,3,NA,0,0,0,29,2.9
2019,3,21.63450050354004,1,0,0,29,2.9
2019,3,NA,1,0,1,54,5.4
2019,3,NA,0,0,1,55,5.5
2019,3,NA,1,0,0,17,1.7
2019,3,NA,1,0,1,56,5.6
2019,3,NA,0,0,1,48,4.8
2019,3,NA,1,0,1,47,4.7
2019,3,12,0,0,0,23,2.3
2019,3,10.75,1,0,0,20,2
2019,3,NA,1,0,0,18,1.8
2019,3,30,1,0,1,61,6.1
2019,3,NA,0,0,1,60,6
2019,3,46.150001525878906,1,0,0,47,4.7
2019,3,15.5,0,0,1,27,2.7
2019,3,13.5,1,0,1,22,2.2
2019,3,15.229999542236328,0,0,0,34,3.4
2019,3,22.115249633789062,1,0,0,32,3.2
2019,3,NA,1,0,1,55,5.5
2019,3,NA,0,0,1,51,5.1
2019,3,22,1,0,1,62,6.2
2019,3,33,1,0,0,29,2.9
2019,3,NA,1,0,1,61,6.1
2019,3,103.25,0,0,1,38,3.8
2019,3,33.33333206176758,1,0,1,40,4
2019,3,15,0,0,0,34,3.4
2019,3,19.700000762939453,1,0,0,38,3.8
2019,3,22,0,0,0,26,2.6
2019,3,15,1,0,0,25,2.5
2019,3,NA,1,0,1,37,3.7
2019,3,33.653751373291016,0,0,1,42,4.2
2019,3,22.809999465942383,1,0,0,43,4.3
2019,3,NA,1,0,0,17,1.7
2019,3,12,0,0,0,45,4.5
2019,3,43.26900100708008,0,0,1,56,5.6
2019,3,17,1,0,1,56,5.6
2019,3,NA,1,0,1,56,5.6
2019,3,48.07674789428711,0,0,1,57,5.7
2019,3,NA,0,0,0,27,2.7
2019,3,25,0,0,0,36,3.6
2019,3,19.230749130249023,1,0,0,33,3.3
2019,3,24.038249969482422,1,0,0,37,3.7
2019,3,24.475454330444336,0,0,1,50,5
2019,3,34.61524963378906,1,0,1,50,5
2019,3,NA,0,0,0,17,1.7
2019,3,28.825000762939453,0,0,0,40,4
